id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44077,cosy comfortable Irish cottage twin,193005,Teresa,,Dn Laoghaire-Rathdown,53.29178,-6.25792,Private room,65,3,227,2020-03-06,1.74,3,233,0,
85148,Habitación en Dublín Double room,466111,Don,,South Dublin,53.29885,-6.3185,Private room,30,1,1,2019-05-11,0.03,1,99,0,
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Teresa,,Dn Laoghaire-Rathdown,53.29209,-6.25624,Private room,61,3,182,2020-03-09,1.42,3,323,0,
159889,Friendly Single Room,766611,Margaret,,Dublin City,53.39027,-6.23547,Private room,40,2,316,2021-12-05,2.67,3,324,5,
162809,5.5 miles south of Dublin City :^),777681,Robert,,Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room,65,1,288,2021-10-19,3.62,2,114,4,
165828,Pádraig Pearse apt. Kilmainham,790601,Grainne,,Dublin City,53.33744,-6.32363,Entire home/apt,100,4,54,2021-11-23,0.44,5,296,11,
165829,"The ""Michael Collins"" apartment",790601,Grainne,,Dublin City,53.33744,-6.32363,Entire home/apt,100,4,58,2021-11-02,0.48,5,179,4,
178860,Georgian House in Heart of City Ctr,856312,Danielle,,Dublin City,53.33281,-6.2675,Private room,80,2,313,2021-08-19,2.78,2,0,1,
237465,Cozy 1 bed apt 10 mins to airport. total privacy,1245198,Amanda,,Dublin City,53.39558,-6.17524,Entire home/apt,62,1,314,2021-12-08,2.59,3,241,35,
245893,Double warm cosy bedroom in Lucan,1289720,Sheila,,South Dublin,53.34471,-6.41602,Private room,45,30,16,2016-08-29,0.14,2,130,0,
245903,Single cosy bedroom in Lucan.,1289720,Sheila,,South Dublin,53.34636,-6.41734,Private room,30,1,42,2021-10-31,0.37,2,97,4,
286635,Almanii B&B 2 - Dublin Airport/City,1491424,Mary,,Dublin City,53.38855,-6.24324,Private room,61,3,24,2017-03-19,0.20,4,330,0,
292757,Old World Converted Stableyard with Swimming Pool,1515549,Sarah,,Dublin City,53.36949,-6.34889,Entire home/apt,121,2,333,2021-11-22,2.95,1,98,1,
302554,Peaceful retreat for 5 - excellent location,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,159,3,56,2021-09-23,0.47,8,290,1,
302634,Studio sleeps 2 city ctr 10 mins - Molly Malone,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,82,2,85,2021-09-20,0.71,8,283,2,
314639,Almanii B&B 4 - Dublin Airport/City,1491424,Mary,,Dublin City,53.38795,-6.24333,Private room,61,3,12,2021-09-10,0.10,4,327,2,
314640,Almanii B&B 1 - Dublin Airport/City,1491424,Mary,,Dublin City,53.38722,-6.24315,Private room,61,3,11,2015-09-17,0.10,4,325,0,
314641,Almanii B&B 3 - Dublin Airport/City,1491424,Mary,,Dublin City,53.3888,-6.24487,Private room,61,3,7,2021-09-07,0.06,4,330,1,
315698,"City Penthouse, Own Balcony, Shower",1625811,Tracey,,Dublin City,53.34184,-6.22666,Private room,69,5,240,2020-10-16,2.08,1,0,0,
